,genres,is_fiction
0,"[Voyages and travels, Oceania -- Description and travel, Easter Island]",False
1,"[Western stories, Texas -- Fiction, Sheriffs -- Fiction]",True
2,"[Christmas plays, Santa Claus -- Drama]",True
3,"[Conspiracy Theories, Fiction, Politics, Science Fiction, Classics, Philosophy, Dystopia]",True
4,"[Horror, Short Stories, Weird Fiction, Fiction]",True
5,"[fiction, science fiction]",True
6,[Crime -- Fiction],True
7,[Mines and mineral resources -- Colorado -- Fiction],True
8,"[Christmas, fiction, film/TV adaptation]",True
9,"[Triangles (Interpersonal relations) -- Fiction, Artists -- Fiction, Murder -- Fiction, Brothers -- Fiction, Mystery fiction]",True
