,id,link,title,author,year,length,title_appearences_locs,title_appearences_relative,title_appearences_count,failed,subjects
0,1192,http://gutenberg.ca/ebooks/frostr-westrunningbrook/frostr-westrunningbrook-00-t.txt,West-Running Brook,"Frost, Robert [Robert Lee] (1874-1963)",1928,719,[],[],0,,"[fiction, poetry]"
1,1188,http://gutenberg.ca/ebooks/shuten-trusteefromthetoolroom/shuten-trusteefromthetoolroom-00-t.txt,Trustee from the Toolroom,"Shute, Nevil [Norway, Nevil Shute] (1899-1960)",1960,8823,[],[],0,,"[Fiction, Classics, Adventure, Historical Fiction, Novels, Travel, Literature]"
2,1642,http://gutenberg.ca/ebooks/allinghamm-nolovelost/allinghamm-nolovelost-00-t.txt,No Love Lost,"Allingham, Margery [Youngman Carter, Margery Louise]",1954,67,[],[],0,,"[fiction, mystery]"
3,124,http://gutenberg.ca/ebooks/montgomery-greengables/montgomery-greengables-00-t.txt,Anne of Green Gables,"Montgomery, L. M. [Lucy Maud] (1874-1942)",1908,9218,"[1887, 2764, 4735]","[0.2047081796485138, 0.2998481232371447, 0.5136689086569755]",3,,"[Childrens, Fiction]"
4,1332,http://gutenberg.ca/ebooks/jamesonm-bullard08thebureaucrat/jamesonm-bullard08thebureaucrat-00-t.txt,The Bureaucrat,"Jameson, Malcolm (1891-1945)",1944,1152,[],[],0,,"[fiction, science fiction]"
5,514,http://gutenberg.ca/ebooks/anonymous-simon/anonymous-simon-00-t.txt,Story of Simple Simon,Anonymous,1850,114,[],[],0,,"[children, fiction, folklore, nursery rhymes, picture book]"
6,1002,http://gutenberg.ca/ebooks/lockewj-greatpandolfo/lockewj-greatpandolfo-00-t.txt,The Great Pandolfo,"Locke, William John (1863-1930)",1925,9675,"[3397, 3426, 5161, 5631, 5708, 6819, 7310, 7338, 7351, 8490, 8525, 9581]","[0.3511111111111111, 0.3541085271317829, 0.5334366925064600, 0.5820155038759690, 0.5899741602067183, 0.7048062015503876, 0.7555555555555555, 0.7584496124031008, 0.7597932816537468, 0.8775193798449612, 0.8811369509043928, 0.9902842377260982]",12,,[fiction]
7,487,http://gutenberg.ca/ebooks/lefanu-malory1/lefanu-malory1-00-t.txt,The Tenants of Malory. A Novel. (Volume 1 of 3),"Le Fanu, Joseph Thomas Sheridan (1814-1873)",1867,3805,[],[],0,,
8,381,http://gutenberg.ca/ebooks/thompsonf-stillglides/thompsonf-stillglides-00-t.txt,Still Glides the Stream,"Thompson, Flora Jane (1876-1947)",1948,6771,[1],[0.0001476886722788362],1,,"[Fiction, Classics, Historical Fiction, Literary Fiction, British Literature]"
9,1625,http://gutenberg.ca/ebooks/obrienf-dalkeyarchive/obrienf-dalkeyarchive-00-t.txt,The Dalkey Archive,"O'Brien, Flann [O'Nolan, Brian] (1911-1966)",1964,6011,[],[],0,,[fiction]
