,id,link,title,author,length,title_appearences_locs,title_appearences_relative,title_appearences_count,failed,subjects
0,44111,https://www.gutenberg.org/cache/epub/44111/pg44111.txt,Red Dynamite,"Snell, Roy J. (Roy Judson), 1878-1959",,,,,1,"[Friendship -- Juvenile fiction, Mystery and detective stories, Teamwork (Sports) -- Juvenile fiction, Football stories]"
1,60107,https://www.gutenberg.org/cache/epub/60107/pg60107.txt,"Five Minute Sermons, Volume I.","Paulist Fathers; Brown, Algernon A. [Contributor]",12702,[],[],0,,"[Catholic Church -- Sermons, Sermons, American -- 19th century]"
2,14859,https://www.gutenberg.org/cache/epub/14859/pg14859.txt,Daddy Takes Us to the Garden,"Garis, Howard Roger, 1873-1962",3197,[2892],[0.9045980606818893],1,,"[Fathers -- Juvenile fiction, Gardens -- Juvenile fiction]"
3,6305,https://www.gutenberg.org/cache/epub/6305/pg6305.txt,A Fool There Was,"Browne, Porter Emerson, 1879-1934",5881,"[18, 2334, 4254, 5265]","[0.0030607039619112396, 0.3968712803944907000, 0.7233463696650230000, 0.8952559088590376000]",4,,[Femmes fatales -- Fiction]
4,485,https://www.gutenberg.org/cache/epub/485/pg485.txt,The Road to Oz,"Baum, L. Frank (Lyman Frank), 1856-1919",5184,[],[],0,,"[Oz (Imaginary place) -- Juvenile fiction, Fantasy literature, Voyages and travels -- Juvenile fiction, Uncles -- Juvenile fiction, Magic -- Juvenile fiction, Kings and rulers -- Juvenile fiction, Farms -- Juvenile fiction, Good and evil -- Juvenile fiction, Animals, Mythical -- Juvenile fiction, Gale, Dorothy (Fictitious character) -- Juvenile fiction, Princess Ozma (Fictitious character) -- Juvenile fiction]"
5,14639,https://www.gutenberg.org/cache/epub/14639/pg14639.txt,"Punch, or the London Charivari, Volume 152, February 28, 1917",Various,1589,[],[],0,,[English wit and humor -- Periodicals]
6,13865,https://www.gutenberg.org/cache/epub/13865/pg13865.txt,"Chambers's Edinburgh Journal, No. 418","Various; Chambers, Robert, 1802-1871 [Editor]; Chambers, William, 1800-1883 [Editor]",1805,[],[],0,,[Periodicals]
7,9443,https://www.gutenberg.org/cache/epub/9443/pg9443.txt,Samantha among the Brethren — Volume 1,"Holley, Marietta, 1836-1926",1283,[],[],0,,"[Women in church work -- Methodist church -- Humor, Methodism -- Humor]"
8,13167,https://www.gutenberg.org/cache/epub/13167/pg13167.txt,More Cricket Songs,"Gale, Norman, 1862-1942",1561,[1424],[0.9122357463164638],1,,[Cricket -- Poetry]
9,3294,https://www.gutenberg.org/cache/epub/3294/pg3294.txt,The sea-hawk,"Sabatini, Rafael, 1875-1950",13726,[],[],0,,"[Historical fiction, Sea stories, Adventure stories, Pirates -- Fiction, Muslims -- Fiction, British -- Africa, North -- Fiction, Africa, North -- Fiction, Cornwall (England : County) -- Fiction]"
